optimizer,method,iteration,evals,energy,energy_global,is_stage_boundary
spsa,standard,0,2.0,-6.573535604293044,-6.573535604293044,0
spsa,standard,1,4.0,-5.559334794935805,-5.559334794935805,0
spsa,standard,2,6.0,-5.822000047747087,-5.822000047747087,0
spsa,standard,3,8.0,-5.84254469996722,-5.84254469996722,0
spsa,standard,4,10.0,-5.864727736567676,-5.864727736567676,0
spsa,standard,5,12.0,-5.912622121436142,-5.912622121436142,0
spsa,standard,6,14.0,-5.9532107993837275,-5.9532107993837275,0
spsa,standard,7,16.0,-6.0174152378145,-6.0174152378145,0
spsa,standard,8,18.0,-6.021061054734817,-6.021061054734817,0
spsa,standard,9,20.0,-6.048975518838845,-6.048975518838845,0
spsa,standard,10,22.0,-6.107595750492722,-6.107595750492722,0
spsa,standard,11,24.0,-6.148503595473853,-6.148503595473853,0
spsa,standard,12,26.0,-6.152152144150833,-6.152152144150833,0
spsa,standard,13,28.0,-6.181602847345593,-6.181602847345593,0
spsa,standard,14,30.0,-6.177107391851495,-6.177107391851495,0
spsa,standard,15,32.0,-6.191354374831259,-6.191354374831259,0
spsa,standard,16,34.0,-6.204694080995065,-6.204694080995065,0
spsa,standard,17,36.0,-6.208546299577868,-6.208546299577868,0
spsa,standard,18,38.0,-6.23368874125733,-6.23368874125733,0
spsa,standard,19,40.0,-6.2587107967094875,-6.2587107967094875,0
spsa,standard,20,42.0,-6.350444863428682,-6.350444863428682,0
spsa,standard,21,44.0,-6.3408769622170436,-6.3408769622170436,0
spsa,standard,22,46.0,-6.3584018612462145,-6.3584018612462145,0
spsa,standard,23,48.0,-6.380319469619018,-6.380319469619018,0
spsa,standard,24,50.0,-6.389598259310362,-6.389598259310362,0
spsa,standard,25,52.0,-6.646915258016403,-6.646915258016403,0
spsa,standard,26,54.0,-6.678876410903209,-6.678876410903209,0
spsa,standard,27,56.0,-6.839758414115948,-6.839758414115948,0
spsa,standard,28,58.0,-7.056144473177349,-7.056144473177349,0
spsa,standard,29,60.0,-7.0584517314466275,-7.0584517314466275,0
spsa,standard,30,62.0,-7.029326172328265,-7.029326172328265,0
spsa,standard,31,64.0,-7.047974351259127,-7.047974351259127,0
spsa,standard,32,66.0,-7.1058552312252745,-7.1058552312252745,0
spsa,standard,33,68.0,-7.153416590686129,-7.153416590686129,0
spsa,standard,34,70.0,-7.1547288543769145,-7.1547288543769145,0
spsa,standard,35,72.0,-7.05700273315665,-7.05700273315665,0
spsa,standard,36,74.0,-7.0077494757844025,-7.0077494757844025,0
spsa,standard,37,76.0,-7.008396660018899,-7.008396660018899,0
spsa,standard,38,78.0,-7.015564953256138,-7.015564953256138,0
spsa,standard,39,80.0,-7.042516370406155,-7.042516370406155,0
spsa,standard,40,82.0,-7.161720447629397,-7.161720447629397,0
spsa,standard,41,84.0,-7.1607468954369775,-7.1607468954369775,0
spsa,standard,42,86.0,-7.1547999121145684,-7.1547999121145684,0
spsa,standard,43,88.0,-6.679604920263731,-6.679604920263731,0
spsa,standard,44,90.0,-6.69223182790765,-6.69223182790765,0
spsa,standard,45,92.0,-6.751616258234072,-6.751616258234072,0
spsa,standard,46,94.0,-6.9573184404328146,-6.9573184404328146,0
spsa,standard,47,96.0,-7.09912176247526,-7.09912176247526,0
spsa,standard,48,98.0,-7.141945620250567,-7.141945620250567,0
spsa,standard,49,100.0,-7.093415069266825,-7.093415069266825,0
spsa,standard,50,102.0,-7.115372393607011,-7.115372393607011,0
spsa,standard,51,104.0,-7.120122451556336,-7.120122451556336,0
spsa,standard,52,106.0,-7.148530859318074,-7.148530859318074,0
spsa,standard,53,108.0,-7.156685848641144,-7.156685848641144,0
spsa,standard,54,110.0,-7.185194422484069,-7.185194422484069,0
spsa,standard,55,112.0,-7.176128755952133,-7.176128755952133,0
spsa,standard,56,114.0,-7.1956923130899035,-7.1956923130899035,0
spsa,standard,57,116.0,-7.3278527289757225,-7.3278527289757225,0
spsa,standard,58,118.0,-7.358591878199749,-7.358591878199749,0
spsa,standard,59,120.0,-7.367230321305636,-7.367230321305636,0
spsa,standard,60,122.0,-7.439843985745879,-7.439843985745879,0
spsa,standard,61,124.0,-7.508859314220869,-7.508859314220869,0
spsa,standard,62,126.0,-7.531231252311885,-7.531231252311885,0
spsa,standard,63,128.0,-7.5558800364134076,-7.5558800364134076,0
spsa,standard,64,130.0,-7.63808392100481,-7.63808392100481,0
spsa,standard,65,132.0,-7.6341518295235264,-7.6341518295235264,0
spsa,standard,66,134.0,-7.610223226148572,-7.610223226148572,0
spsa,standard,67,136.0,-7.626887331474569,-7.626887331474569,0
spsa,standard,68,138.0,-7.641319639136059,-7.641319639136059,0
spsa,standard,69,140.0,-7.739736087450572,-7.739736087450572,0
spsa,standard,70,142.0,-7.755572035457514,-7.755572035457514,0
spsa,standard,71,144.0,-7.73440459959753,-7.73440459959753,0
spsa,standard,72,146.0,-7.729237054532138,-7.729237054532138,0
spsa,standard,73,148.0,-7.729156994502739,-7.729156994502739,0
spsa,standard,74,150.0,-7.744903671484839,-7.744903671484839,0
spsa,standard,75,152.0,-7.733246089394931,-7.733246089394931,0
spsa,standard,76,154.0,-7.753569375325524,-7.753569375325524,0
spsa,standard,77,156.0,-7.786209959113162,-7.786209959113162,0
spsa,standard,78,158.0,-7.801546386745224,-7.801546386745224,0
spsa,standard,79,160.0,-7.819407864181125,-7.819407864181125,0
spsa,standard,80,162.0,-7.808570193497372,-7.808570193497372,0
spsa,standard,81,164.0,-7.923219964767815,-7.923219964767815,0
spsa,standard,82,166.0,-7.925909869576426,-7.925909869576426,0
spsa,standard,83,168.0,-7.9341771670635435,-7.9341771670635435,0
