optimizer,method,iteration,energy,energy_global,is_stage_boundary
adam,standard,0,-6.576250912812464,-6.576250912812464,0
adam,standard,1,-6.730239547595038,-6.730239547595038,0
adam,standard,2,-6.882087886981735,-6.882087886981735,0
adam,standard,3,-7.0291271678190546,-7.0291271678190546,0
adam,standard,4,-7.168888753978615,-7.168888753978615,0
adam,standard,5,-7.300245195066914,-7.300245195066914,0
adam,standard,6,-7.422589386245058,-7.422589386245058,0
adam,standard,7,-7.535832265482016,-7.535832265482016,0
adam,standard,8,-7.6408479367917375,-7.6408479367917375,0
adam,standard,9,-7.739117048619241,-7.739117048619241,0
adam,standard,10,-7.832420026141272,-7.832420026141272,0
adam,standard,11,-7.922748742217403,-7.922748742217403,0
adam,standard,12,-8.012048209269278,-8.012048209269278,0
adam,standard,13,-8.101833328244332,-8.101833328244332,0
adam,standard,14,-8.192957968990692,-8.192957968990692,0
adam,standard,15,-8.285608235159089,-8.285608235159089,0
adam,standard,16,-8.379387288235723,-8.379387288235723,0
adam,standard,17,-8.473432689111421,-8.473432689111421,0
adam,standard,18,-8.566628722758407,-8.566628722758407,0
adam,standard,19,-8.657897164280785,-8.657897164280785,0
adam,standard,20,-8.746481660591066,-8.746481660591066,0
adam,standard,21,-8.832121356896797,-8.832121356896797,0
adam,standard,22,-8.915097681075693,-8.915097681075693,0
adam,standard,23,-8.99623214042563,-8.99623214042563,0
adam,standard,24,-9.076761498256204,-9.076761498256204,0
adam,standard,25,-9.157962286135476,-9.157962286135476,0
adam,standard,26,-9.240769111790605,-9.240769111790605,0
adam,standard,27,-9.325729636472893,-9.325729636472893,0
adam,standard,28,-9.413214181003402,-9.413214181003402,0
adam,standard,29,-9.503613657935466,-9.503613657935466,0
adam,standard,30,-9.597408058961134,-9.597408058961134,0
adam,standard,31,-9.69514834446734,-9.69514834446734,0
adam,standard,32,-9.79740421458716,-9.79740421458716,0
adam,standard,33,-9.904686116586815,-9.904686116586815,0
adam,standard,34,-10.01736846844881,-10.01736846844881,0
adam,standard,35,-10.135613897283923,-10.135613897283923,0
adam,standard,36,-10.259232730387112,-10.259232730387112,0
adam,standard,37,-10.387552220313971,-10.387552220313971,0
adam,standard,38,-10.519480509937496,-10.519480509937496,0
adam,standard,39,-10.653741644393723,-10.653741644393723,0
adam,standard,40,-10.789116869521035,-10.789116869521035,0
adam,standard,41,-10.924537735027664,-10.924537735027664,0
adam,standard,42,-11.058853319193085,-11.058853319193085,0
adam,standard,43,-11.190456915312705,-11.190456915312705,0
adam,standard,44,-11.317135804964629,-11.317135804964629,0
adam,standard,45,-11.436279997695575,-11.436279997695575,0
adam,standard,46,-11.54548913696478,-11.54548913696478,0
adam,standard,47,-11.64329374527293,-11.64329374527293,0
adam,standard,48,-11.729491551187884,-11.729491551187884,0
adam,standard,49,-11.80491815475681,-11.80491815475681,0
adam,standard,50,-11.870888023175072,-11.870888023175072,0
adam,standard,51,-11.928704549346635,-11.928704549346635,0
adam,standard,52,-11.979468791514357,-11.979468791514357,0
adam,standard,53,-12.024197655470733,-12.024197655470733,0
adam,standard,54,-12.064024601295495,-12.064024601295495,0
adam,standard,55,-12.100214346535086,-12.100214346535086,0
adam,standard,56,-12.133874754835373,-12.133874754835373,0
adam,standard,57,-12.165669550837933,-12.165669550837933,0
adam,standard,58,-12.195888798451026,-12.195888798451026,0
adam,standard,59,-12.224756447118812,-12.224756447118812,0
adam,standard,60,-12.252661579428425,-12.252661579428425,0
adam,standard,61,-12.28007115935457,-12.28007115935457,0
adam,standard,62,-12.307311581709811,-12.307311581709811,0
adam,standard,63,-12.334495468201437,-12.334495468201437,0
adam,standard,64,-12.36169721791792,-12.36169721791792,0
adam,standard,65,-12.389147327777145,-12.389147327777145,0
adam,standard,66,-12.417232725466338,-12.417232725466338,0
adam,standard,67,-12.446340132214205,-12.446340132214205,0
adam,standard,68,-12.476748385402002,-12.476748385402002,0
adam,standard,69,-12.508641669590215,-12.508641669590215,0
adam,standard,70,-12.542132852298097,-12.542132852298097,0
adam,standard,71,-12.577204244978788,-12.577204244978788,0
adam,standard,72,-12.613620392668825,-12.613620392668825,0
adam,standard,73,-12.650890372630688,-12.650890372630688,0
adam,standard,74,-12.688312325839282,-12.688312325839282,0
adam,standard,75,-12.725054789601236,-12.725054789601236,0
adam,standard,76,-12.76028072466412,-12.76028072466412,0
adam,standard,77,-12.793336736172805,-12.793336736172805,0
adam,standard,78,-12.823947588604808,-12.823947588604808,0
adam,standard,79,-12.85223904204545,-12.85223904204545,0
adam,standard,80,-12.878524583703786,-12.878524583703786,0
adam,standard,81,-12.902997830830747,-12.902997830830747,0
adam,standard,82,-12.92556595529501,-12.92556595529501,0
adam,standard,83,-12.945912493851576,-12.945912493851576,0
adam,standard,84,-12.963677294624707,-12.963677294624707,0
adam,standard,85,-12.978626154704155,-12.978626154704155,0
adam,standard,86,-12.99075950391102,-12.99075950391102,0
adam,standard,87,-13.000351405952117,-13.000351405952117,0
adam,standard,88,-13.00791012427681,-13.00791012427681,0
adam,standard,89,-13.01407657855328,-13.01407657855328,0
adam,standard,90,-13.019500641466609,-13.019500641466609,0
adam,standard,91,-13.024733997603363,-13.024733997603363,0
adam,standard,92,-13.030155839368097,-13.030155839368097,0
adam,standard,93,-13.035932256560802,-13.035932256560802,0
adam,standard,94,-13.042031498717543,-13.042031498717543,0
adam,standard,95,-13.048301498664516,-13.048301498664516,0
adam,standard,96,-13.054565146066958,-13.054565146066958,0
adam,standard,97,-13.060682945065153,-13.060682945065153,0
adam,standard,98,-13.066570629734434,-13.066570629734434,0
adam,standard,99,-13.072194635348122,-13.072194635348122,0
adam,standard,100,-13.077560972069563,-13.077560972069563,0
adam,standard,101,-13.08269322272736,-13.08269322272736,0
adam,standard,102,-13.087608174644755,-13.087608174644755,0
adam,standard,103,-13.092305406646721,-13.092305406646721,0
adam,standard,104,-13.09676981700196,-13.09676981700196,0
adam,standard,105,-13.100976337781074,-13.100976337781074,0
adam,standard,106,-13.104893524638856,-13.104893524638856,0
adam,standard,107,-13.108489991726346,-13.108489991726346,0
adam,standard,108,-13.111740610257337,-13.111740610257337,0
adam,standard,109,-13.114626949144121,-13.114626949144121,0
adam,standard,110,-13.117139664287933,-13.117139664287933,0
adam,standard,111,-13.119288619739727,-13.119288619739727,0
adam,standard,112,-13.121109930115718,-13.121109930115718,0
adam,standard,113,-13.122659169248834,-13.122659169248834,0
adam,standard,114,-13.123995947682266,-13.123995947682266,0
adam,standard,115,-13.125172618444847,-13.125172618444847,0
adam,standard,116,-13.126229897120101,-13.126229897120101,0
adam,standard,117,-13.127195394328668,-13.127195394328668,0
adam,standard,118,-13.12808564484878,-13.12808564484878,0
adam,standard,119,-13.128911832055362,-13.128911832055362,0
adam,standard,120,-13.129684986315372,-13.129684986315372,0
adam,standard,121,-13.130417789519901,-13.130417789519901,0
adam,standard,122,-13.131124507477413,-13.131124507477413,0
adam,standard,123,-13.131820020145598,-13.131820020145598,0
adam,standard,124,-13.13251604525303,-13.13251604525303,0
adam,standard,125,-13.133216252190941,-13.133216252190941,0
adam,standard,126,-13.133915076535994,-13.133915076535994,0
adam,standard,127,-13.13460103663497,-13.13460103663497,0
adam,standard,128,-13.135261311396377,-13.135261311396377,0
adam,standard,129,-13.135885321723903,-13.135885321723903,0
adam,standard,130,-13.136467473694617,-13.136467473694617,0
adam,standard,131,-13.13700827994419,-13.13700827994419,0
adam,standard,132,-13.137512621330728,-13.137512621330728,0
adam,standard,133,-13.137986382717763,-13.137986382717763,0
adam,standard,134,-13.138433863492157,-13.138433863492157,0
adam,standard,135,-13.138857013493512,-13.138857013493512,0
adam,standard,136,-13.139256029447267,-13.139256029447267,0
adam,standard,137,-13.139630654783796,-13.139630654783796,0
adam,standard,138,-13.139981232018114,-13.139981232018114,0
adam,standard,139,-13.140308638049483,-13.140308638049483,0
adam,standard,140,-13.140613624384732,-13.140613624384732,0
adam,standard,141,-13.140896703798052,-13.140896703798052,0
adam,standard,142,-13.141158652127464,-13.141158652127464,0
adam,standard,143,-13.141400770910332,-13.141400770910332,0
adam,standard,144,-13.14162478370798,-13.14162478370798,0
adam,standard,145,-13.141832744133144,-13.141832744133144,0
adam,standard,146,-13.14202681649253,-13.14202681649253,0
adam,standard,147,-13.1422087576067,-13.1422087576067,0
adam,standard,148,-13.142379526631364,-13.142379526631364,0
adam,standard,149,-13.142539449569915,-13.142539449569915,0
adam,standard,150,-13.142688640645327,-13.142688640645327,0
adam,standard,151,-13.142827291242844,-13.142827291242844,0
adam,standard,152,-13.142955781891848,-13.142955781891848,0
adam,standard,153,-13.143074666038244,-13.143074666038244,0
adam,standard,154,-13.143184565970854,-13.143184565970854,0
adam,standard,155,-13.143286102874077,-13.143286102874077,0
adam,standard,156,-13.143379899568169,-13.143379899568169,0
adam,standard,157,-13.143466507198362,-13.143466507198362,0
adam,standard,158,-13.143546293534845,-13.143546293534845,0
adam,standard,159,-13.14361949335004,-13.14361949335004,0
adam,standard,160,-13.143686408356151,-13.143686408356151,0
adam,standard,161,-13.143747533924982,-13.143747533924982,0
adam,standard,162,-13.143803552762103,-13.143803552762103,0
adam,standard,163,-13.14385528431007,-13.14385528431007,0
adam,standard,164,-13.143903591060571,-13.143903591060571,0
adam,standard,165,-13.143949223320606,-13.143949223320606,0
adam,standard,166,-13.143992696274417,-13.143992696274417,0
adam,standard,167,-13.144034295823943,-13.144034295823943,0
adam,standard,168,-13.144074178217377,-13.144074178217377,0
adam,standard,169,-13.14411247494319,-13.14411247494319,0
adam,standard,170,-13.144149335746569,-13.144149335746569,0
adam,standard,171,-13.144184901406035,-13.144184901406035,0
adam,standard,172,-13.144219260654657,-13.144219260654657,0
adam,standard,173,-13.144252456492412,-13.144252456492412,0
adam,standard,174,-13.144284527966969,-13.144284527966969,0
adam,standard,175,-13.14431553691293,-13.14431553691293,0
adam,standard,176,-13.144345573644095,-13.144345573644095,0
adam,standard,177,-13.14437475345428,-13.14437475345428,0
adam,standard,178,-13.144403195298901,-13.144403195298901,0
adam,standard,179,-13.144430991677856,-13.144430991677856,0
adam,standard,180,-13.144458204254065,-13.144458204254065,0
adam,standard,181,-13.144484886248367,-13.144484886248367,0
adam,standard,182,-13.144511103096903,-13.144511103096903,0
adam,standard,183,-13.144536937748272,-13.144536937748272,0
adam,standard,184,-13.144562484481563,-13.144562484481563,0
adam,standard,185,-13.144587834719452,-13.144587834719452,0
adam,standard,186,-13.144613065249397,-13.144613065249397,0
adam,standard,187,-13.14463823643997,-13.14463823643997,0
adam,standard,188,-13.144663395909998,-13.144663395909998,0
adam,standard,189,-13.144688584772712,-13.144688584772712,0
adam,standard,190,-13.144713849709323,-13.144713849709323,0
adam,standard,191,-13.144739251816452,-13.144739251816452,0
adam,standard,192,-13.144764861764024,-13.144764861764024,0
adam,standard,193,-13.144790748727045,-13.144790748727045,0
adam,standard,194,-13.144816975859163,-13.144816975859163,0
adam,standard,195,-13.144843601547572,-13.144843601547572,0
adam,standard,196,-13.14487068220128,-13.14487068220128,0
adam,standard,197,-13.144898276608611,-13.144898276608611,0
adam,standard,198,-13.144926449966478,-13.144926449966478,0
adam,standard,199,-13.144955274542209,-13.144955274542209,0
adam,standard,200,-13.144984828566269,-13.144984828566269,0
adam,standard,201,-13.14501519574155,-13.14501519574155,0
adam,standard,202,-13.145046465401618,-13.145046465401618,0
adam,standard,203,-13.14507873332597,-13.14507873332597,0
adam,standard,204,-13.145112102481894,-13.145112102481894,0
adam,standard,205,-13.14514668180005,-13.14514668180005,0
adam,standard,206,-13.145182583834211,-13.145182583834211,0
adam,standard,207,-13.145219923963623,-13.145219923963623,0
adam,standard,208,-13.145258821187815,-13.145258821187815,0
adam,standard,209,-13.145299398828909,-13.145299398828909,0
adam,standard,210,-13.145341784114592,-13.145341784114592,0
adam,standard,211,-13.145386104194868,-13.145386104194868,0
adam,standard,212,-13.145432472732029,-13.145432472732029,0
adam,standard,213,-13.14548095476786,-13.14548095476786,0
adam,standard,214,-13.145531482396068,-13.145531482396068,0
adam,standard,215,-13.1455836723875,-13.1455836723875,0
adam,standard,216,-13.145636550098105,-13.145636550098105,0
adam,standard,217,-13.14568876534128,-13.14568876534128,0
adam,standard,218,-13.145741836294864,-13.145741836294864,0
adam,standard,219,-13.14580666213341,-13.14580666213341,0
adam,standard,220,-13.145892023676327,-13.145892023676327,0
adam,standard,221,-13.14597824081075,-13.14597824081075,0
adam,standard,222,-13.146049078704573,-13.146049078704573,0
adam,standard,223,-13.146125337491695,-13.146125337491695,0
