optimizer,method,final_energy,energy_error,fidelity,n_params,stability,runtime_s
spsa,standard,-1.1304003749451321,0.006862945559744205,0.9905383426618899,40,0.005021342015370677,5.050860700022895
spsa,local_global,-1.1193910186340998,0.017872301870776486,0.9787353504109539,40,0.008933078300710365,5.7986704999930225
spsa,adiabatic,-1.0926436118839016,0.04461970862097475,0.939727313740823,40,0.008224952174702774,6.0537508999696
spsa,sea,-1.1342270708050626,0.0030362496998137534,0.9974149684901691,30,0.010532299778944444,3.070902900013607
spsa,pretrained,-1.1177941551743553,0.01946916533052101,0.9720422453143759,40,0.006740415816219495,3.6729327000211924
adam,standard,-1.1372590155206603,4.30498421599701e-06,0.9999960063740951,40,8.156312439831244e-08,2.900237600028049
adam,local_global,-1.1372632138883987,1.0661647764642623e-07,0.9999999192166581,40,2.362335402265289e-06,4.565582999959588
adam,adiabatic,-1.1372496450455796,1.3675459296758063e-05,0.9999849488517449,40,4.116683614811174e-05,4.782160800008569
adam,sea,-1.1372632733688308,4.713604551120909e-08,0.9999999744389657,30,1.0375339491784474e-06,2.3413236999767832
adam,pretrained,-1.137263282252988,3.8251888323515004e-08,0.9999999398389081,40,4.362848178542335e-09,2.8095273000071757
cobyla,standard,-1.1317162649339756,0.0055470555709007385,0.9922277753192998,40,5.9345293086144847e-05,3.5430742999888025
cobyla,local_global,-1.1345450114002902,0.0027183091045861474,0.9963279243562124,40,3.1789542935878503e-05,7.213888099999167
cobyla,adiabatic,-1.1145187983301057,0.02274452217477063,0.9773834989659493,40,0.0001231664610432226,7.399925399979111
cobyla,sea,-1.1358437106216317,0.0014196098832446324,0.9988485089414222,30,9.38135076151559e-06,2.932915600016713
cobyla,pretrained,-1.1365732072558556,0.0006901132490206852,0.9992543040658723,40,2.8601598852528523e-06,3.643405899987556
