optimizer,method,iteration,evals,energy,energy_global,is_stage_boundary
spsa,standard,0,2.0,2.835268723003444,2.835268723003444,0
spsa,standard,1,4.0,2.7850157699321043,2.7850157699321043,0
spsa,standard,2,6.0,2.6325163961485947,2.6325163961485947,0
spsa,standard,3,8.0,2.6323432293315685,2.6323432293315685,0
spsa,standard,4,10.0,2.6716451324750103,2.6716451324750103,0
spsa,standard,5,12.0,2.716887783754408,2.716887783754408,0
spsa,standard,6,14.0,2.6362919600426804,2.6362919600426804,0
spsa,standard,7,16.0,2.644177929070789,2.644177929070789,0
spsa,standard,8,18.0,2.6535166507217856,2.6535166507217856,0
spsa,standard,9,20.0,2.6416439932030866,2.6416439932030866,0
spsa,standard,10,22.0,2.6414440290988086,2.6414440290988086,0
spsa,standard,11,24.0,2.5915156275924773,2.5915156275924773,0
spsa,standard,12,26.0,2.520400916842747,2.520400916842747,0
spsa,standard,13,28.0,2.5394813706092787,2.5394813706092787,0
spsa,standard,14,30.0,2.49153276203222,2.49153276203222,0
spsa,standard,15,32.0,2.4686818543868387,2.4686818543868387,0
spsa,standard,16,34.0,2.45199832184358,2.45199832184358,0
spsa,standard,17,36.0,2.425584883521079,2.425584883521079,0
spsa,standard,18,38.0,2.451288705540583,2.451288705540583,0
spsa,standard,19,40.0,2.4209358424749086,2.4209358424749086,0
spsa,standard,20,42.0,2.3616525300678033,2.3616525300678033,0
spsa,standard,21,44.0,2.333814600859582,2.333814600859582,0
spsa,standard,22,46.0,2.315031499258212,2.315031499258212,0
spsa,standard,23,48.0,2.323276713056207,2.323276713056207,0
spsa,standard,24,50.0,2.334080827493846,2.334080827493846,0
spsa,standard,25,52.0,2.2150654093028197,2.2150654093028197,0
spsa,standard,26,54.0,2.232131310663626,2.232131310663626,0
spsa,standard,27,56.0,2.2176221487603343,2.2176221487603343,0
spsa,standard,28,58.0,2.249447218425787,2.249447218425787,0
spsa,standard,29,60.0,2.2617258423609288,2.2617258423609288,0
spsa,standard,30,62.0,2.1110864537064304,2.1110864537064304,0
spsa,standard,31,64.0,2.1051729574835223,2.1051729574835223,0
