optimizer,method,iteration,energy,energy_global,is_stage_boundary
adam,standard,0,2.845677068898275,2.845677068898275,0
adam,standard,1,2.708187890676442,2.708187890676442,0
adam,standard,2,2.579805984226968,2.579805984226968,0
adam,standard,3,2.4648640323107074,2.4648640323107074,0
adam,standard,4,2.365609996847936,2.365609996847936,0
adam,standard,5,2.2813032831939015,2.2813032831939015,0
adam,standard,6,2.209567190308933,2.209567190308933,0
adam,standard,7,2.147580897103719,2.147580897103719,0
adam,standard,8,2.092724880215014,2.092724880215014,0
adam,standard,9,2.0428950706134055,2.0428950706134055,0
adam,standard,10,1.996589585111506,1.996589585111506,0
adam,standard,11,1.9529076101800362,1.9529076101800362,0
adam,standard,12,1.9114888588010854,1.9114888588010854,0
adam,standard,13,1.8722954267680636,1.8722954267680636,0
adam,standard,14,1.8353244843591354,1.8353244843591354,0
adam,standard,15,1.8004088634483046,1.8004088634483046,0
adam,standard,16,1.767028744291278,1.767028744291278,0
adam,standard,17,1.7342294154102997,1.7342294154102997,0
adam,standard,18,1.7007851861971748,1.7007851861971748,0
adam,standard,19,1.6655323297388989,1.6655323297388989,0
adam,standard,20,1.627683715809424,1.627683715809424,0
adam,standard,21,1.5870050335935015,1.5870050335935015,0
adam,standard,22,1.5438194159969298,1.5438194159969298,0
adam,standard,23,1.4988487669172366,1.4988487669172366,0
adam,standard,24,1.452951840639284,1.452951840639284,0
adam,standard,25,1.4068728680217994,1.4068728680217994,0
adam,standard,26,1.361104934475914,1.361104934475914,0
adam,standard,27,1.3158651800692558,1.3158651800692558,0
adam,standard,28,1.271103323684388,1.271103323684388,0
adam,standard,29,1.226545678618607,1.226545678618607,0
adam,standard,30,1.1818163022834796,1.1818163022834796,0
adam,standard,31,1.1365899689664454,1.1365899689664454,0
adam,standard,32,1.0906747997357171,1.0906747997357171,0
adam,standard,33,1.0439687073302337,1.0439687073302337,0
adam,standard,34,0.9963273581842509,0.9963273581842509,0
adam,standard,35,0.9474373390558662,0.9474373390558662,0
adam,standard,36,0.8967733648289894,0.8967733648289894,0
adam,standard,37,0.8436544119340503,0.8436544119340503,0
adam,standard,38,0.787349899369137,0.787349899369137,0
adam,standard,39,0.7271690675416366,0.7271690675416366,0
adam,standard,40,0.662498201807125,0.662498201807125,0
adam,standard,41,0.5927937539395874,0.5927937539395874,0
adam,standard,42,0.5175665368437691,0.5175665368437691,0
adam,standard,43,0.43640443206093327,0.43640443206093327,0
adam,standard,44,0.34906286611862203,0.34906286611862203,0
adam,standard,45,0.25559019797392063,0.25559019797392063,0
adam,standard,46,0.15642499618762037,0.15642499618762037,0
adam,standard,47,0.05243525068445329,0.05243525068445329,0
adam,standard,48,-0.05510590907428338,-0.05510590907428338,0
adam,standard,49,-0.16460289378835263,-0.16460289378835263,0
adam,standard,50,-0.2742512780049252,-0.2742512780049252,0
adam,standard,51,-0.38213961939563557,-0.38213961939563557,0
adam,standard,52,-0.48632290612667045,-0.48632290612667045,0
adam,standard,53,-0.5849083674379176,-0.5849083674379176,0
adam,standard,54,-0.6762116263518135,-0.6762116263518135,0
adam,standard,55,-0.7589872212431548,-0.7589872212431548,0
adam,standard,56,-0.8326535764213119,-0.8326535764213119,0
adam,standard,57,-0.8973771088333591,-0.8973771088333591,0
adam,standard,58,-0.9539324190472414,-0.9539324190472414,0
adam,standard,59,-1.003413894598409,-1.003413894598409,0
adam,standard,60,-1.0469749133788397,-1.0469749133788397,0
adam,standard,61,-1.0857108614610473,-1.0857108614610473,0
adam,standard,62,-1.1206613175192779,-1.1206613175192779,0
adam,standard,63,-1.152809565715047,-1.152809565715047,0
adam,standard,64,-1.1830045354679832,-1.1830045354679832,0
adam,standard,65,-1.2118726259627586,-1.2118726259627586,0
adam,standard,66,-1.2398130827090215,-1.2398130827090215,0
adam,standard,67,-1.267070388909337,-1.267070388909337,0
adam,standard,68,-1.2938212969466667,-1.2938212969466667,0
adam,standard,69,-1.320225183994435,-1.320225183994435,0
adam,standard,70,-1.3464135529305765,-1.3464135529305765,0
adam,standard,71,-1.372438907609987,-1.372438907609987,0
adam,standard,72,-1.398242851401405,-1.398242851401405,0
adam,standard,73,-1.4236792163096488,-1.4236792163096488,0
adam,standard,74,-1.4485674262583719,-1.4485674262583719,0
