optimizer,method,iteration,evals,energy,energy_global,is_stage_boundary
spsa,standard,0,2.0,-4.018428817516464,-4.018428817516464,0
spsa,standard,1,4.0,-3.9674234995281408,-3.9674234995281408,0
spsa,standard,2,6.0,-4.018701073897485,-4.018701073897485,0
spsa,standard,3,8.0,-4.014500641791125,-4.014500641791125,0
spsa,standard,4,10.0,-4.026920685148176,-4.026920685148176,0
spsa,standard,5,12.0,-4.0599352745860315,-4.0599352745860315,0
spsa,standard,6,14.0,-4.074721416455695,-4.074721416455695,0
spsa,standard,7,16.0,-4.110288169900486,-4.110288169900486,0
spsa,standard,8,18.0,-4.116849962066354,-4.116849962066354,0
spsa,standard,9,20.0,-4.135653276426191,-4.135653276426191,0
spsa,standard,10,22.0,-4.122968423464214,-4.122968423464214,0
spsa,standard,11,24.0,-4.13553671758747,-4.13553671758747,0
spsa,standard,12,26.0,-4.175452502351408,-4.175452502351408,0
spsa,standard,13,28.0,-4.1829629015422585,-4.1829629015422585,0
spsa,standard,14,30.0,-4.2194487960076295,-4.2194487960076295,0
spsa,standard,15,32.0,-4.214816895716899,-4.214816895716899,0
spsa,standard,16,34.0,-4.225177546246132,-4.225177546246132,0
spsa,standard,17,36.0,-4.221726021386164,-4.221726021386164,0
spsa,standard,18,38.0,-4.309566687514648,-4.309566687514648,0
spsa,standard,19,40.0,-4.315243896147077,-4.315243896147077,0
spsa,standard,20,42.0,-4.328004916377058,-4.328004916377058,0
spsa,standard,21,44.0,-4.33286745514731,-4.33286745514731,0
spsa,standard,22,46.0,-4.33823232085262,-4.33823232085262,0
spsa,standard,23,48.0,-4.341090114486515,-4.341090114486515,0
spsa,standard,24,50.0,-4.370348437028714,-4.370348437028714,0
spsa,standard,25,52.0,-4.370482157828045,-4.370482157828045,0
spsa,standard,26,54.0,-4.37637953419252,-4.37637953419252,0
spsa,standard,27,56.0,-4.37638053232264,-4.37638053232264,0
spsa,standard,28,58.0,-4.383263863365006,-4.383263863365006,0
spsa,standard,29,60.0,-4.427391744356301,-4.427391744356301,0
spsa,standard,30,62.0,-4.442050404813992,-4.442050404813992,0
spsa,standard,31,64.0,-4.496223742568658,-4.496223742568658,0
spsa,standard,32,66.0,-4.50996473413257,-4.50996473413257,0
spsa,standard,33,68.0,-4.550324229802028,-4.550324229802028,0
spsa,standard,34,70.0,-4.556533313704666,-4.556533313704666,0
spsa,standard,35,72.0,-4.573844240325253,-4.573844240325253,0
spsa,standard,36,74.0,-4.583144119658166,-4.583144119658166,0
spsa,standard,37,76.0,-4.595733323773604,-4.595733323773604,0
spsa,standard,38,78.0,-4.612220143510437,-4.612220143510437,0
spsa,standard,39,80.0,-4.605292921349738,-4.605292921349738,0
spsa,standard,40,82.0,-4.616215462792084,-4.616215462792084,0
spsa,standard,41,84.0,-4.607342957126468,-4.607342957126468,0
