optimizer,method,iteration,energy,energy_global,is_stage_boundary
adam,standard,0,-4.081831523130387,-4.081831523130387,0
adam,standard,1,-4.148542678585881,-4.148542678585881,0
adam,standard,2,-4.216263508969598,-4.216263508969598,0
adam,standard,3,-4.283807067140063,-4.283807067140063,0
adam,standard,4,-4.350781766035301,-4.350781766035301,0
adam,standard,5,-4.417401372626331,-4.417401372626331,0
adam,standard,6,-4.483999128815619,-4.483999128815619,0
adam,standard,7,-4.550737369056282,-4.550737369056282,0
adam,standard,8,-4.617475400418307,-4.617475400418307,0
adam,standard,9,-4.683822809897666,-4.683822809897666,0
adam,standard,10,-4.749320023992261,-4.749320023992261,0
adam,standard,11,-4.813615602706152,-4.813615602706152,0
adam,standard,12,-4.876595562077032,-4.876595562077032,0
adam,standard,13,-4.938306027460283,-4.938306027460283,0
adam,standard,14,-4.998773693346807,-4.998773693346807,0
adam,standard,15,-5.057939347560938,-5.057939347560938,0
adam,standard,16,-5.115605369714052,-5.115605369714052,0
adam,standard,17,-5.171399599224742,-5.171399599224742,0
adam,standard,18,-5.2248679175412915,-5.2248679175412915,0
adam,standard,19,-5.275666561668106,-5.275666561668106,0
adam,standard,20,-5.323703933886275,-5.323703933886275,0
adam,standard,21,-5.369137990188494,-5.369137990188494,0
adam,standard,22,-5.412291019745207,-5.412291019745207,0
adam,standard,23,-5.453528615610109,-5.453528615610109,0
adam,standard,24,-5.493114809326107,-5.493114809326107,0
adam,standard,25,-5.531129158513365,-5.531129158513365,0
adam,standard,26,-5.5675106653227635,-5.5675106653227635,0
adam,standard,27,-5.602176223715876,-5.602176223715876,0
adam,standard,28,-5.635127436445582,-5.635127436445582,0
adam,standard,29,-5.666485542228396,-5.666485542228396,0
adam,standard,30,-5.696440610347677,-5.696440610347677,0
adam,standard,31,-5.725179599912299,-5.725179599912299,0
adam,standard,32,-5.752854246164897,-5.752854246164897,0
adam,standard,33,-5.77959569877945,-5.77959569877945,0
adam,standard,34,-5.805560043960359,-5.805560043960359,0
adam,standard,35,-5.830972267569334,-5.830972267569334,0
adam,standard,36,-5.856139399315653,-5.856139399315653,0
adam,standard,37,-5.881425233421211,-5.881425233421211,0
adam,standard,38,-5.907199423410585,-5.907199423410585,0
adam,standard,39,-5.93379165677013,-5.93379165677013,0
adam,standard,40,-5.961478095119699,-5.961478095119699,0
adam,standard,41,-5.990493274278468,-5.990493274278468,0
adam,standard,42,-6.021035198933744,-6.021035198933744,0
adam,standard,43,-6.053245352039454,-6.053245352039454,0
adam,standard,44,-6.087177882977133,-6.087177882977133,0
adam,standard,45,-6.122780544200693,-6.122780544200693,0
adam,standard,46,-6.159883438661337,-6.159883438661337,0
adam,standard,47,-6.198172243219116,-6.198172243219116,0
adam,standard,48,-6.237150445930242,-6.237150445930242,0
