optimizer,method,iteration,evals,energy,energy_global,is_stage_boundary
spsa,standard,0,2.0,-35.3579340036748,-35.3579340036748,0
spsa,standard,1,4.0,-34.15886822860925,-34.15886822860925,0
spsa,standard,2,6.0,-33.55126122891738,-33.55126122891738,0
spsa,standard,3,8.0,-33.865564293910076,-33.865564293910076,0
spsa,standard,4,10.0,-33.79325358512086,-33.79325358512086,0
spsa,standard,5,12.0,-34.22178370871845,-34.22178370871845,0
spsa,standard,6,14.0,-32.699658944929524,-32.699658944929524,0
spsa,standard,7,16.0,-32.78282075676718,-32.78282075676718,0
spsa,standard,8,18.0,-33.566621006471806,-33.566621006471806,0
spsa,standard,9,20.0,-34.49905142068653,-34.49905142068653,0
spsa,standard,10,22.0,-33.71921506913063,-33.71921506913063,0
spsa,standard,11,24.0,-34.12786080498759,-34.12786080498759,0
spsa,standard,12,26.0,-34.02505659603296,-34.02505659603296,0
spsa,standard,13,28.0,-34.11106676722552,-34.11106676722552,0
spsa,standard,14,30.0,-34.11227640240833,-34.11227640240833,0
spsa,standard,15,32.0,-34.561715007326235,-34.561715007326235,0
spsa,standard,16,34.0,-34.42141390538352,-34.42141390538352,0
spsa,standard,17,36.0,-33.95670970281067,-33.95670970281067,0
spsa,standard,18,38.0,-34.168084821452354,-34.168084821452354,0
spsa,standard,19,40.0,-34.97288140559991,-34.97288140559991,0
spsa,standard,20,42.0,-33.828537521440424,-33.828537521440424,0
spsa,standard,21,44.0,-33.83602607261287,-33.83602607261287,0
spsa,standard,22,46.0,-34.056319900255914,-34.056319900255914,0
spsa,standard,23,48.0,-34.22569782119926,-34.22569782119926,0
spsa,standard,24,50.0,-34.25044386876198,-34.25044386876198,0
spsa,standard,25,52.0,-34.28041155864018,-34.28041155864018,0
spsa,standard,26,54.0,-32.9401159222801,-32.9401159222801,0
spsa,standard,27,56.0,-34.34532455917235,-34.34532455917235,0
spsa,standard,28,58.0,-34.23952242812995,-34.23952242812995,0
spsa,standard,29,60.0,-34.884292063684235,-34.884292063684235,0
spsa,standard,30,62.0,-34.27381589407743,-34.27381589407743,0
spsa,standard,31,64.0,-34.270326548159915,-34.270326548159915,0
spsa,standard,32,66.0,-34.59291390120816,-34.59291390120816,0
spsa,standard,33,68.0,-34.33613843266503,-34.33613843266503,0
spsa,standard,34,70.0,-35.93270599762778,-35.93270599762778,0
spsa,standard,35,72.0,-35.77820590075309,-35.77820590075309,0
spsa,standard,36,74.0,-34.548872201353504,-34.548872201353504,0
spsa,standard,37,76.0,-34.61003421381438,-34.61003421381438,0
spsa,standard,38,78.0,-36.10164340764529,-36.10164340764529,0
spsa,standard,39,80.0,-35.127234120595986,-35.127234120595986,0
spsa,standard,40,82.0,-33.14657984537766,-33.14657984537766,0
spsa,standard,41,84.0,-33.196902823207765,-33.196902823207765,0
spsa,standard,42,86.0,-33.24798247553333,-33.24798247553333,0
spsa,standard,43,88.0,-34.09174381877024,-34.09174381877024,0
spsa,standard,44,90.0,-34.02858688299992,-34.02858688299992,0
spsa,standard,45,92.0,-34.45618614984358,-34.45618614984358,0
spsa,standard,46,94.0,-34.46826285707225,-34.46826285707225,0
spsa,standard,47,96.0,-34.652227226873265,-34.652227226873265,0
spsa,standard,48,98.0,-35.053641042713714,-35.053641042713714,0
spsa,standard,49,100.0,-34.8813294919655,-34.8813294919655,0
spsa,standard,50,102.0,-34.60235869100232,-34.60235869100232,0
spsa,standard,51,104.0,-34.671305422587565,-34.671305422587565,0
spsa,standard,52,106.0,-34.691478584257595,-34.691478584257595,0
spsa,standard,53,108.0,-34.674432621229414,-34.674432621229414,0
spsa,standard,54,110.0,-34.527378475887716,-34.527378475887716,0
spsa,standard,55,112.0,-34.55009186821726,-34.55009186821726,0
spsa,standard,56,114.0,-34.61909158235509,-34.61909158235509,0
spsa,standard,57,116.0,-34.68781907240669,-34.68781907240669,0
spsa,standard,58,118.0,-35.66924896430341,-35.66924896430341,0
spsa,standard,59,120.0,-34.325400892715784,-34.325400892715784,0
spsa,standard,60,122.0,-34.76207978508374,-34.76207978508374,0
spsa,standard,61,124.0,-34.4392435669165,-34.4392435669165,0
spsa,standard,62,126.0,-34.44108519571391,-34.44108519571391,0
spsa,standard,63,128.0,-34.50219249005643,-34.50219249005643,0
spsa,standard,64,130.0,-34.56746160283855,-34.56746160283855,0
spsa,standard,65,132.0,-34.59337816668434,-34.59337816668434,0
spsa,standard,66,134.0,-34.56450664854427,-34.56450664854427,0
spsa,standard,67,136.0,-34.58599369662451,-34.58599369662451,0
spsa,standard,68,138.0,-34.67653209817234,-34.67653209817234,0
spsa,standard,69,140.0,-33.030849677893414,-33.030849677893414,0
spsa,standard,70,142.0,-33.14845157862132,-33.14845157862132,0
spsa,standard,71,144.0,-33.63047731873353,-33.63047731873353,0
spsa,standard,72,146.0,-33.579201122752316,-33.579201122752316,0
spsa,standard,73,148.0,-33.983102730107454,-33.983102730107454,0
spsa,standard,74,150.0,-34.18244855503233,-34.18244855503233,0
spsa,standard,75,152.0,-34.34848453444597,-34.34848453444597,0
spsa,standard,76,154.0,-35.064159783774684,-35.064159783774684,0
spsa,standard,77,156.0,-35.0959127617396,-35.0959127617396,0
spsa,standard,78,158.0,-35.09275133671565,-35.09275133671565,0
spsa,standard,79,160.0,-35.17763853135813,-35.17763853135813,0
spsa,standard,80,162.0,-33.39951297946341,-33.39951297946341,0
spsa,standard,81,164.0,-33.473101081743835,-33.473101081743835,0
spsa,standard,82,166.0,-34.219403551310975,-34.219403551310975,0
spsa,standard,83,168.0,-34.738960008723076,-34.738960008723076,0
spsa,standard,84,170.0,-35.836462714489144,-35.836462714489144,0
spsa,standard,85,172.0,-35.730542047148326,-35.730542047148326,0
spsa,standard,86,174.0,-35.641154601808196,-35.641154601808196,0
spsa,standard,87,176.0,-35.58440375335343,-35.58440375335343,0
spsa,standard,88,178.0,-35.61495654464717,-35.61495654464717,0
spsa,standard,89,180.0,-35.97868274767433,-35.97868274767433,0
spsa,standard,90,182.0,-35.97554596049115,-35.97554596049115,0
spsa,standard,91,184.0,-36.07254586706851,-36.07254586706851,0
spsa,standard,92,186.0,-36.00268324445223,-36.00268324445223,0
spsa,standard,93,188.0,-35.75235803433108,-35.75235803433108,0
spsa,standard,94,190.0,-35.98768436902934,-35.98768436902934,0
spsa,standard,95,192.0,-35.93250936831724,-35.93250936831724,0
spsa,standard,96,194.0,-34.49199419428341,-34.49199419428341,0
spsa,standard,97,196.0,-34.49175666939337,-34.49175666939337,0
spsa,standard,98,198.0,-34.52684744044947,-34.52684744044947,0
spsa,standard,99,200.0,-34.954344960865214,-34.954344960865214,0
spsa,standard,100,202.0,-35.290884586647465,-35.290884586647465,0
spsa,standard,101,204.0,-35.273340160362196,-35.273340160362196,0
spsa,standard,102,206.0,-34.31109732896924,-34.31109732896924,0
spsa,standard,103,208.0,-34.30718298860361,-34.30718298860361,0
spsa,standard,104,210.0,-34.36124236090441,-34.36124236090441,0
spsa,standard,105,212.0,-34.47908343210413,-34.47908343210413,0
spsa,standard,106,214.0,-34.46064458710737,-34.46064458710737,0
spsa,standard,107,216.0,-34.71237644001342,-34.71237644001342,0
spsa,standard,108,218.0,-34.77242657297979,-34.77242657297979,0
spsa,standard,109,220.0,-35.123826167798,-35.123826167798,0
spsa,standard,110,222.0,-35.23609568258203,-35.23609568258203,0
spsa,standard,111,224.0,-35.219682306815706,-35.219682306815706,0
spsa,standard,112,226.0,-34.61992212793855,-34.61992212793855,0
spsa,standard,113,228.0,-35.666460292876174,-35.666460292876174,0
spsa,standard,114,230.0,-37.638564486497856,-37.638564486497856,0
spsa,standard,115,232.0,-36.139427543429676,-36.139427543429676,0
spsa,standard,116,234.0,-36.507154533610034,-36.507154533610034,0
spsa,standard,117,236.0,-36.429745537090085,-36.429745537090085,0
spsa,standard,118,238.0,-33.254217212040096,-33.254217212040096,0
spsa,standard,119,240.0,-33.4432962844721,-33.4432962844721,0
spsa,standard,120,242.0,-33.5124121232608,-33.5124121232608,0
spsa,standard,121,244.0,-33.54097080323696,-33.54097080323696,0
spsa,standard,122,246.0,-33.88504642496313,-33.88504642496313,0
spsa,standard,123,248.0,-34.08967604364234,-34.08967604364234,0
spsa,standard,124,250.0,-34.315452818557205,-34.315452818557205,0
spsa,standard,125,252.0,-34.37244857314684,-34.37244857314684,0
spsa,standard,126,254.0,-34.47415704474359,-34.47415704474359,0
spsa,standard,127,256.0,-34.4710880963614,-34.4710880963614,0
spsa,standard,128,258.0,-34.52300380938145,-34.52300380938145,0
spsa,standard,129,260.0,-34.72201861766412,-34.72201861766412,0
spsa,standard,130,262.0,-34.76674382392319,-34.76674382392319,0
spsa,standard,131,264.0,-34.82895674957544,-34.82895674957544,0
spsa,standard,132,266.0,-34.801636039644166,-34.801636039644166,0
spsa,standard,133,268.0,-34.84955007595196,-34.84955007595196,0
spsa,standard,134,270.0,-35.054227270328504,-35.054227270328504,0
spsa,standard,135,272.0,-35.02937464419658,-35.02937464419658,0
spsa,standard,136,274.0,-35.10256307021871,-35.10256307021871,0
spsa,standard,137,276.0,-35.101724056331506,-35.101724056331506,0
spsa,standard,138,278.0,-35.138159635779445,-35.138159635779445,0
spsa,standard,139,280.0,-35.161070451299565,-35.161070451299565,0
spsa,standard,140,282.0,-35.40166293174211,-35.40166293174211,0
spsa,standard,141,284.0,-35.338828606642835,-35.338828606642835,0
spsa,standard,142,286.0,-35.32504264986193,-35.32504264986193,0
spsa,standard,143,288.0,-35.344283342539995,-35.344283342539995,0
spsa,standard,144,290.0,-35.35432147566533,-35.35432147566533,0
spsa,standard,145,292.0,-35.380571462959736,-35.380571462959736,0
spsa,standard,146,294.0,-35.50314855369976,-35.50314855369976,0
spsa,standard,147,296.0,-35.44102114003826,-35.44102114003826,0
spsa,standard,148,298.0,-32.7926875652796,-32.7926875652796,0
spsa,standard,149,300.0,-34.270985081956184,-34.270985081956184,0
spsa,standard,150,302.0,-34.623659057851924,-34.623659057851924,0
spsa,standard,151,304.0,-34.687731586833806,-34.687731586833806,0
spsa,standard,152,306.0,-34.956738213142145,-34.956738213142145,0
spsa,standard,153,308.0,-34.97333952978891,-34.97333952978891,0
spsa,standard,154,310.0,-35.056994087679634,-35.056994087679634,0
spsa,standard,155,312.0,-35.206760770724216,-35.206760770724216,0
spsa,standard,156,314.0,-35.289095793139765,-35.289095793139765,0
spsa,standard,157,316.0,-35.255269001470865,-35.255269001470865,0
spsa,standard,158,318.0,-35.3163015881246,-35.3163015881246,0
spsa,standard,159,320.0,-36.175860916545325,-36.175860916545325,0
spsa,standard,160,322.0,-36.30127918373599,-36.30127918373599,0
spsa,standard,161,324.0,-36.33815091241814,-36.33815091241814,0
spsa,standard,162,326.0,-36.326979203695544,-36.326979203695544,0
spsa,standard,163,328.0,-36.29070788597632,-36.29070788597632,0
spsa,standard,164,330.0,-36.269790693829734,-36.269790693829734,0
spsa,standard,165,332.0,-36.31428945159232,-36.31428945159232,0
spsa,standard,166,334.0,-36.22297228546509,-36.22297228546509,0
spsa,standard,167,336.0,-35.72467783909035,-35.72467783909035,0
spsa,standard,168,338.0,-35.47861300858983,-35.47861300858983,0
spsa,standard,169,340.0,-35.59182321870529,-35.59182321870529,0
spsa,standard,170,342.0,-35.61492503527576,-35.61492503527576,0
spsa,standard,171,344.0,-35.882264935338554,-35.882264935338554,0
spsa,standard,172,346.0,-35.76997466449242,-35.76997466449242,0
spsa,standard,173,348.0,-36.082861382639734,-36.082861382639734,0
spsa,standard,174,350.0,-36.4127250144611,-36.4127250144611,0
spsa,standard,175,352.0,-35.762750054342774,-35.762750054342774,0
spsa,standard,176,354.0,-35.69792894935124,-35.69792894935124,0
spsa,standard,177,356.0,-35.64411276652307,-35.64411276652307,0
spsa,standard,178,358.0,-35.60253238238019,-35.60253238238019,0
spsa,standard,179,360.0,-35.66486166847087,-35.66486166847087,0
spsa,standard,180,362.0,-36.3498722868086,-36.3498722868086,0
spsa,standard,181,364.0,-36.36070756848616,-36.36070756848616,0
spsa,standard,182,366.0,-35.46116538918224,-35.46116538918224,0
spsa,standard,183,368.0,-35.52800406870894,-35.52800406870894,0
spsa,standard,184,370.0,-35.88862120830825,-35.88862120830825,0
